timestamp, index, utilization.gpu [%], memory.used [MiB]
2025/08/12 18:20:37.105, 0, 0 %, 0 MiB
2025/08/12 18:20:38.105, 0, 0 %, 0 MiB
2025/08/12 18:20:39.106, 0, 0 %, 0 MiB
2025/08/12 18:20:40.106, 0, 0 %, 0 MiB
2025/08/12 18:20:41.106, 0, 0 %, 0 MiB
2025/08/12 18:20:42.107, 0, 0 %, 0 MiB
2025/08/12 18:20:43.107, 0, 0 %, 0 MiB
2025/08/12 18:20:44.108, 0, 0 %, 0 MiB
2025/08/12 18:20:45.108, 0, 0 %, 0 MiB
2025/08/12 18:20:46.109, 0, 0 %, 0 MiB
2025/08/12 18:20:47.109, 0, 0 %, 0 MiB
2025/08/12 18:20:48.110, 0, 0 %, 0 MiB
2025/08/12 18:20:49.110, 0, 0 %, 0 MiB
2025/08/12 18:20:50.111, 0, 0 %, 0 MiB
2025/08/12 18:20:51.111, 0, 0 %, 0 MiB
2025/08/12 18:20:52.112, 0, 0 %, 0 MiB
2025/08/12 18:20:53.112, 0, 0 %, 0 MiB
2025/08/12 18:20:54.113, 0, 0 %, 0 MiB
2025/08/12 18:20:55.113, 0, 0 %, 0 MiB
2025/08/12 18:20:56.114, 0, 0 %, 0 MiB
2025/08/12 18:20:57.114, 0, 0 %, 0 MiB
2025/08/12 18:20:58.115, 0, 0 %, 0 MiB
2025/08/12 18:20:59.115, 0, 0 %, 0 MiB
2025/08/12 18:21:00.116, 0, 0 %, 0 MiB
2025/08/12 18:21:01.116, 0, 0 %, 0 MiB
2025/08/12 18:21:02.117, 0, 0 %, 0 MiB
2025/08/12 18:21:03.117, 0, 0 %, 0 MiB
2025/08/12 18:21:04.117, 0, 0 %, 0 MiB
2025/08/12 18:21:05.118, 0, 0 %, 0 MiB
2025/08/12 18:21:06.118, 0, 0 %, 0 MiB
2025/08/12 18:21:07.119, 0, 0 %, 0 MiB
2025/08/12 18:21:08.119, 0, 0 %, 0 MiB
2025/08/12 18:21:09.120, 0, 0 %, 0 MiB
2025/08/12 18:21:10.121, 0, 0 %, 0 MiB
2025/08/12 18:21:11.121, 0, 0 %, 0 MiB
2025/08/12 18:21:12.121, 0, 0 %, 0 MiB
2025/08/12 18:21:13.122, 0, 0 %, 0 MiB
2025/08/12 18:21:14.122, 0, 0 %, 0 MiB
2025/08/12 18:21:15.123, 0, 0 %, 0 MiB
2025/08/12 18:21:16.124, 0, 0 %, 0 MiB
2025/08/12 18:21:17.124, 0, 0 %, 0 MiB
2025/08/12 18:21:18.125, 0, 0 %, 0 MiB
2025/08/12 18:21:19.125, 0, 0 %, 0 MiB
2025/08/12 18:21:20.125, 0, 0 %, 0 MiB
2025/08/12 18:21:21.126, 0, 0 %, 0 MiB
2025/08/12 18:21:22.126, 0, 0 %, 0 MiB
2025/08/12 18:21:23.127, 0, 0 %, 0 MiB
2025/08/12 18:21:24.127, 0, 0 %, 0 MiB
2025/08/12 18:21:25.127, 0, 0 %, 0 MiB
2025/08/12 18:21:26.128, 0, 0 %, 0 MiB
2025/08/12 18:21:27.128, 0, 0 %, 0 MiB
2025/08/12 18:21:28.129, 0, 0 %, 0 MiB
2025/08/12 18:21:29.129, 0, 0 %, 0 MiB
2025/08/12 18:21:30.130, 0, 0 %, 0 MiB
2025/08/12 18:21:31.130, 0, 0 %, 0 MiB
2025/08/12 18:21:32.131, 0, 0 %, 0 MiB
2025/08/12 18:21:33.131, 0, 0 %, 0 MiB
2025/08/12 18:21:34.132, 0, 0 %, 0 MiB
2025/08/12 18:21:35.132, 0, 0 %, 409 MiB
2025/08/12 18:21:36.133, 0, 5 %, 409 MiB
2025/08/12 18:21:37.133, 0, 4 %, 409 MiB
2025/08/12 18:21:38.134, 0, 4 %, 409 MiB
2025/08/12 18:21:39.134, 0, 4 %, 409 MiB
2025/08/12 18:21:40.135, 0, 4 %, 409 MiB
2025/08/12 18:21:41.135, 0, 5 %, 409 MiB
2025/08/12 18:21:42.136, 0, 5 %, 409 MiB
2025/08/12 18:21:43.136, 0, 5 %, 409 MiB
2025/08/12 18:21:44.136, 0, 5 %, 409 MiB
2025/08/12 18:21:45.137, 0, 5 %, 409 MiB
2025/08/12 18:21:46.137, 0, 4 %, 409 MiB
2025/08/12 18:21:47.138, 0, 5 %, 409 MiB
2025/08/12 18:21:48.138, 0, 5 %, 409 MiB
2025/08/12 18:21:49.139, 0, 5 %, 409 MiB
2025/08/12 18:21:50.139, 0, 4 %, 409 MiB
2025/08/12 18:21:51.139, 0, 5 %, 409 MiB
2025/08/12 18:21:52.140, 0, 4 %, 409 MiB
2025/08/12 18:21:53.140, 0, 5 %, 409 MiB
2025/08/12 18:21:54.141, 0, 5 %, 409 MiB
2025/08/12 18:21:55.141, 0, 5 %, 409 MiB
2025/08/12 18:21:56.142, 0, 5 %, 409 MiB
2025/08/12 18:21:57.142, 0, 5 %, 409 MiB
2025/08/12 18:21:58.143, 0, 5 %, 409 MiB
2025/08/12 18:21:59.150, 0, 5 %, 409 MiB
2025/08/12 18:22:00.150, 0, 5 %, 409 MiB
2025/08/12 18:22:01.151, 0, 5 %, 409 MiB
2025/08/12 18:22:02.151, 0, 5 %, 409 MiB
2025/08/12 18:22:03.152, 0, 5 %, 409 MiB
2025/08/12 18:22:04.152, 0, 5 %, 409 MiB
2025/08/12 18:22:05.153, 0, 5 %, 409 MiB
2025/08/12 18:22:06.153, 0, 0 %, 409 MiB
2025/08/12 18:22:07.154, 0, 8 %, 0 MiB
2025/08/12 18:22:08.154, 0, 0 %, 0 MiB
2025/08/12 18:22:09.155, 0, 0 %, 0 MiB
2025/08/12 18:22:10.155, 0, 0 %, 0 MiB
2025/08/12 18:22:11.155, 0, 0 %, 0 MiB
2025/08/12 18:22:12.156, 0, 0 %, 0 MiB
2025/08/12 18:22:13.156, 0, 0 %, 0 MiB
2025/08/12 18:22:14.157, 0, 0 %, 0 MiB
2025/08/12 18:22:15.157, 0, 0 %, 0 MiB
2025/08/12 18:22:16.163, 0, 0 %, 0 MiB
2025/08/12 18:22:17.163, 0, 0 %, 0 MiB
2025/08/12 18:22:18.164, 0, 0 %, 0 MiB
2025/08/12 18:22:19.164, 0, 0 %, 0 MiB
2025/08/12 18:22:20.165, 0, 0 %, 0 MiB
2025/08/12 18:22:21.165, 0, 0 %, 0 MiB
2025/08/12 18:22:22.166, 0, 0 %, 0 MiB
2025/08/12 18:22:23.166, 0, 0 %, 0 MiB
2025/08/12 18:22:24.167, 0, 0 %, 0 MiB
2025/08/12 18:22:25.167, 0, 0 %, 0 MiB
2025/08/12 18:22:26.168, 0, 0 %, 0 MiB
2025/08/12 18:22:27.168, 0, 0 %, 0 MiB
2025/08/12 18:22:28.169, 0, 0 %, 0 MiB
2025/08/12 18:22:29.169, 0, 0 %, 0 MiB
